Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5060014794357359
75% Corpus,2,0.01,0.31,0.4984548897911784
75% Corpus,2,0.01,0.61,0.4702302884972095
75% Corpus,2,0.01,0.9099999999999999,0.49725248549259693
75% Corpus,2,0.01,symmetric,0.464019499722245
75% Corpus,2,0.31,0.01,0.4988089868960306
75% Corpus,2,0.31,0.31,0.49595300395410946
75% Corpus,2,0.31,0.61,0.44643033732741
75% Corpus,2,0.31,0.9099999999999999,0.4672773001758988
75% Corpus,2,0.31,symmetric,0.4535071284281935
75% Corpus,2,0.61,0.01,0.4775127527151666
75% Corpus,2,0.61,0.31,0.4599418024062393
75% Corpus,2,0.61,0.61,0.4922952154977971
75% Corpus,2,0.61,0.9099999999999999,0.42720212266054525
75% Corpus,2,0.61,symmetric,0.46063487435473965
75% Corpus,2,0.9099999999999999,0.01,0.46434057244181914
75% Corpus,2,0.9099999999999999,0.31,0.5032937368029473
75% Corpus,2,0.9099999999999999,0.61,0.4614635388958951
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4582517721267477
75% Corpus,2,0.9099999999999999,symmetric,0.48909586291119633
75% Corpus,2,symmetric,0.01,0.5070206206904976
75% Corpus,2,symmetric,0.31,0.4913289391618117
75% Corpus,2,symmetric,0.61,0.4408054329121071
75% Corpus,2,symmetric,0.9099999999999999,0.4591021985552449
75% Corpus,2,symmetric,symmetric,0.5050367023359675
75% Corpus,2,asymmetric,0.01,0.4498178221532732
75% Corpus,2,asymmetric,0.31,0.4771426932737832
75% Corpus,2,asymmetric,0.61,0.43460101582393457
75% Corpus,2,asymmetric,0.9099999999999999,0.42950235488534894
75% Corpus,2,asymmetric,symmetric,0.4334410807886897
75% Corpus,3,0.01,0.01,0.4200458599770524
75% Corpus,3,0.01,0.31,0.4262128354839025
75% Corpus,3,0.01,0.61,0.4122943391719415
75% Corpus,3,0.01,0.9099999999999999,0.4186411996235468
75% Corpus,3,0.01,symmetric,0.40681010973297216
75% Corpus,3,0.31,0.01,0.4045129077190857
75% Corpus,3,0.31,0.31,0.41123777199825856
75% Corpus,3,0.31,0.61,0.4056453900449539
75% Corpus,3,0.31,0.9099999999999999,0.4062518894979566
75% Corpus,3,0.31,symmetric,0.4474044830953156
75% Corpus,3,0.61,0.01,0.40778767734838084
75% Corpus,3,0.61,0.31,0.42444383157374155
75% Corpus,3,0.61,0.61,0.4015000698696956
75% Corpus,3,0.61,0.9099999999999999,0.4322618643534158
75% Corpus,3,0.61,symmetric,0.43057406194100284
75% Corpus,3,0.9099999999999999,0.01,0.42136450378869234
75% Corpus,3,0.9099999999999999,0.31,0.41501871607821944
75% Corpus,3,0.9099999999999999,0.61,0.4148470457917231
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4292350653830031
75% Corpus,3,0.9099999999999999,symmetric,0.40130683060376365
75% Corpus,3,symmetric,0.01,0.4152906388996869
75% Corpus,3,symmetric,0.31,0.41932397401018334
75% Corpus,3,symmetric,0.61,0.4231422826243887
75% Corpus,3,symmetric,0.9099999999999999,0.4234981451757958
75% Corpus,3,symmetric,symmetric,0.42530523054304625
75% Corpus,3,asymmetric,0.01,0.4598177473226979
75% Corpus,3,asymmetric,0.31,0.45819815676842907
75% Corpus,3,asymmetric,0.61,0.44754295815530876
75% Corpus,3,asymmetric,0.9099999999999999,0.4628497403845541
75% Corpus,3,asymmetric,symmetric,0.4981690345801176
75% Corpus,4,0.01,0.01,0.42930347253497736
75% Corpus,4,0.01,0.31,0.4498906027935578
75% Corpus,4,0.01,0.61,0.46092013329858095
75% Corpus,4,0.01,0.9099999999999999,0.46153996951789134
75% Corpus,4,0.01,symmetric,0.4227849348075085
75% Corpus,4,0.31,0.01,0.4584082684689004
75% Corpus,4,0.31,0.31,0.4441531532744415
75% Corpus,4,0.31,0.61,0.43676873242579584
75% Corpus,4,0.31,0.9099999999999999,0.4573312661839939
75% Corpus,4,0.31,symmetric,0.4321295491512559
75% Corpus,4,0.61,0.01,0.4475814985478823
75% Corpus,4,0.61,0.31,0.4320718396693384
75% Corpus,4,0.61,0.61,0.43522691834202876
75% Corpus,4,0.61,0.9099999999999999,0.4262501116352807
75% Corpus,4,0.61,symmetric,0.43525884608898935
75% Corpus,4,0.9099999999999999,0.01,0.43524709101537257
75% Corpus,4,0.9099999999999999,0.31,0.4357486813960073
75% Corpus,4,0.9099999999999999,0.61,0.4329078397652716
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.44392084382539115
75% Corpus,4,0.9099999999999999,symmetric,0.4452176906658766
75% Corpus,4,symmetric,0.01,0.4103139673032646
75% Corpus,4,symmetric,0.31,0.4228658006555762
75% Corpus,4,symmetric,0.61,0.43859250009678497
75% Corpus,4,symmetric,0.9099999999999999,0.4527055523776524
75% Corpus,4,symmetric,symmetric,0.40840673182817294
75% Corpus,4,asymmetric,0.01,0.50788994955535
75% Corpus,4,asymmetric,0.31,0.44417785010176114
75% Corpus,4,asymmetric,0.61,0.4586416933483667
75% Corpus,4,asymmetric,0.9099999999999999,0.44834993989952465
75% Corpus,4,asymmetric,symmetric,0.4597809740496499
75% Corpus,5,0.01,0.01,0.43204933264461154
75% Corpus,5,0.01,0.31,0.42197687806422
75% Corpus,5,0.01,0.61,0.4407819170680359
75% Corpus,5,0.01,0.9099999999999999,0.4615719421079037
75% Corpus,5,0.01,symmetric,0.41584924823026836
75% Corpus,5,0.31,0.01,0.40610409892099747
75% Corpus,5,0.31,0.31,0.4251160764413431
75% Corpus,5,0.31,0.61,0.4333631377793955
75% Corpus,5,0.31,0.9099999999999999,0.4581232568192887
75% Corpus,5,0.31,symmetric,0.4556221189860308
75% Corpus,5,0.61,0.01,0.3917667330924677
75% Corpus,5,0.61,0.31,0.42284170965947177
75% Corpus,5,0.61,0.61,0.42672060058385447
75% Corpus,5,0.61,0.9099999999999999,0.453988682741978
75% Corpus,5,0.61,symmetric,0.4403864215220473
75% Corpus,5,0.9099999999999999,0.01,0.4124979339546436
75% Corpus,5,0.9099999999999999,0.31,0.43956243924159627
75% Corpus,5,0.9099999999999999,0.61,0.45727390925806766
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4490884086798953
75% Corpus,5,0.9099999999999999,symmetric,0.4303427264545773
75% Corpus,5,symmetric,0.01,0.4074968848949173
75% Corpus,5,symmetric,0.31,0.4333212601904174
75% Corpus,5,symmetric,0.61,0.41995739506272844
75% Corpus,5,symmetric,0.9099999999999999,0.47142571330450345
75% Corpus,5,symmetric,symmetric,0.4165301770288524
75% Corpus,5,asymmetric,0.01,0.41018943186871726
75% Corpus,5,asymmetric,0.31,0.45360206702542394
75% Corpus,5,asymmetric,0.61,0.42507717907051745
75% Corpus,5,asymmetric,0.9099999999999999,0.4534778829835429
75% Corpus,5,asymmetric,symmetric,0.4267495913981737
75% Corpus,6,0.01,0.01,0.4375457035894019
75% Corpus,6,0.01,0.31,0.3891572087770247
